combo;DL1;DL2;DL3;DL4;DL5;UL1;MOD UL1;NR DL1;NR BW1;NR SCS1;NR DL2;NR BW2;NR SCS2;NR UL1;NR UL BW1;NR UL SCS1;NR UL MOD1;mimo DL1;mimo DL2;mimo DL3;mimo DL4;mimo DL5;mimo NR DL1;mimo NR DL2;mimo LTE UL1;mimo NR UL1;BCS NR;BCS LTE;BCS intraENDC
8A4A-1A4_n41A4A;8A;1A;;;;8A;256qam;41A;100;;;;;41A;100;;256qam;4;4;;;;4;;1;1;;;
8A4-1A4A_n77A4A-n77A4;8A;1A;;;;1A;256qam;77A;100;;77A;100;;77A;100;;256qam;4;4;;;;4;4;1;1;;;
8A4A-1A4_n77A4A-n77A4;8A;1A;;;;8A;256qam;77A;100;;77A;100;;77A;100;;256qam;4;4;;;;4;4;1;1;;;
8A4-1A4A_n77A4A;8A;1A;;;;1A;256qam;77A;100;;;;;77A;100;;256qam;4;4;;;;4;;1;1;;;
8A4A-1A4_n77A4A;8A;1A;;;;8A;256qam;77A;100;;;;;77A;100;;256qam;4;4;;;;4;;1;1;;;
8A4-1A4A_n78A4A-n78A4;8A;1A;;;;1A;256qam;78A;100;;78A;100;;78A;100;;256qam;4;4;;;;4;4;1;1;;;
8A4A-1A4_n78A4A-n78A4;8A;1A;;;;8A;256qam;78A;100;;78A;100;;78A;100;;256qam;4;4;;;;4;4;1;1;;;
8A4-1A4A_n78A4A;8A;1A;;;;1A;256qam;78A;100;;;;;78A;100;;256qam;4;4;;;;4;;1;1;;;
8A4A-1A4_n78A4A;8A;1A;;;;8A;256qam;78A;100;;;;;78A;100;;256qam;4;4;;;;4;;1;1;;;
8A4-1A4A_n79A4A;8A;1A;;;;1A;256qam;79A;100;;;;;79A;100;;256qam;4;4;;;;4;;1;1;;;
8A4A-1A4_n79A4A;8A;1A;;;;8A;256qam;79A;100;;;;;79A;100;;256qam;4;4;;;;4;;1;1;;;
18A2-1A4A_n3A4A;18A;1A;;;;1A;256qam;3A;50;;;;;3A;50;;256qam;2;4;;;;4;;1;1;;;
18A2A-1A4_n3A4A;18A;1A;;;;18A;256qam;3A;50;;;;;3A;50;;256qam;2;4;;;;4;;1;1;;;
18A2-1A4A_n77A4A;18A;1A;;;;1A;256qam;77A;100;;;;;77A;100;;256qam;2;4;;;;4;;1;1;;;
18A2A-1A4_n77A4A;18A;1A;;;;18A;256qam;77A;100;;;;;77A;100;;256qam;2;4;;;;4;;1;1;;;
18A2-1A4A_n78A4A;18A;1A;;;;1A;256qam;78A;100;;;;;78A;100;;256qam;2;4;;;;4;;1;1;;;
18A2A-1A4_n78A4A;18A;1A;;;;18A;256qam;78A;100;;;;;78A;100;;256qam;2;4;;;;4;;1;1;;;
