combo;DL1;DL2;DL3;DL4;DL5;UL1;MOD UL1;NR DL1;NR BW1;NR SCS1;NR DL2;NR BW2;NR SCS2;NR UL1;NR UL BW1;NR UL SCS1;NR UL MOD1;mimo DL1;mimo DL2;mimo DL3;mimo DL4;mimo DL5;mimo NR DL1;mimo NR DL2;mimo LTE UL1;mimo NR UL1;BCS NR;BCS LTE;BCS intraENDC
41C4A-1A4_n77A4A;41C;1A;;;;41A;256qam;77A;100;;;;;77A;100;;256qam;4;4;;;;4;;1;1;;;
41C2A-1A4_n77A4A;41C;1A;;;;41A;256qam;77A;100;;;;;77A;100;;256qam;2;4;;;;4;;1;1;;;
41A4A-1A4_n77A4A;41A;1A;;;;41A;256qam;77A;100;;;;;77A;100;;256qam;4;4;;;;4;;1;1;;;
41C4-1A4A_n78A4A;41C;1A;;;;1A;256qam;78A;100;;;;;78A;100;;256qam;4;4;;;;4;;1;1;;;
41A4-1A4A_n78A4A;41A;1A;;;;1A;256qam;78A;100;;;;;78A;100;;256qam;4;4;;;;4;;1;1;;;
41C4A-1A4_n78A4A;41C;1A;;;;41A;256qam;78A;100;;;;;78A;100;;256qam;4;4;;;;4;;1;1;;;
41A4A-1A4_n78A4A;41A;1A;;;;41A;256qam;78A;100;;;;;78A;100;;256qam;4;4;;;;4;;1;1;;;
42C2-1A4A_n77A4-n3A4A;42C;1A;;;;1A;256qam;77A;100;;3A;50;;3A;50;;256qam;2;4;;;;4;4;1;1;;;
42C2-1A4A_n77A4A-n3A4;42C;1A;;;;1A;256qam;77A;100;;3A;50;;77A;100;;256qam;2;4;;;;4;4;1;1;;;
42A4-1A4A_n77A4-n3A4A;42A;1A;;;;1A;256qam;77A;100;;3A;50;;3A;50;;256qam;4;4;;;;4;4;1;1;;;
42A4-1A4A_n77A4A-n3A4;42A;1A;;;;1A;256qam;77A;100;;3A;50;;77A;100;;256qam;4;4;;;;4;4;1;1;;;
42C2A-1A4_n77A4-n3A4A;42C;1A;;;;42A;256qam;77A;100;;3A;50;;3A;50;;256qam;2;4;;;;4;4;1;1;;;
42A4A-1A4_n77A4-n3A4A;42A;1A;;;;42A;256qam;77A;100;;3A;50;;3A;50;;256qam;4;4;;;;4;4;1;1;;;
42C4-1A4A_n3A4A;42C;1A;;;;1A;256qam;3A;50;;;;;3A;50;;256qam;4;4;;;;4;;1;1;;;
42C2-1A4A_n3A4A;42C;1A;;;;1A;256qam;3A;50;;;;;3A;50;;256qam;2;4;;;;4;;1;1;;;
42A4-1A4A_n3A4A;42A;1A;;;;1A;256qam;3A;50;;;;;3A;50;;256qam;4;4;;;;4;;1;1;;;
42C4A-1A4_n3A4A;42C;1A;;;;42A;256qam;3A;50;;;;;3A;50;;256qam;4;4;;;;4;;1;1;;;
42C2A-1A4_n3A4A;42C;1A;;;;42A;256qam;3A;50;;;;;3A;50;;256qam;2;4;;;;4;;1;1;;;
42A4A-1A4_n3A4A;42A;1A;;;;42A;256qam;3A;50;;;;;3A;50;;256qam;4;4;;;;4;;1;1;;;
42C2-1A4A_n77A4-n28A4A;42C;1A;;;;1A;256qam;77A;100;;28A;30;;28A;30;;256qam;2;4;;;;4;4;1;1;;;
42C2-1A4A_n77A4A-n28A4;42C;1A;;;;1A;256qam;77A;100;;28A;30;;77A;100;;256qam;2;4;;;;4;4;1;1;;;
42A4-1A4A_n77A4-n28A4A;42A;1A;;;;1A;256qam;77A;100;;28A;30;;28A;30;;256qam;4;4;;;;4;4;1;1;;;
42A4-1A4A_n77A4A-n28A4;42A;1A;;;;1A;256qam;77A;100;;28A;30;;77A;100;;256qam;4;4;;;;4;4;1;1;;;
42C2A-1A4_n77A4-n28A4A;42C;1A;;;;42A;256qam;77A;100;;28A;30;;28A;30;;256qam;2;4;;;;4;4;1;1;;;
42A4A-1A4_n77A4-n28A4A;42A;1A;;;;42A;256qam;77A;100;;28A;30;;28A;30;;256qam;4;4;;;;4;4;1;1;;;
42C2-1A4A_n28A4A;42C;1A;;;;1A;256qam;28A;30;;;;;28A;30;;256qam;2;4;;;;4;;1;1;;;
42A4-1A4A_n28A4A;42A;1A;;;;1A;256qam;28A;30;;;;;28A;30;;256qam;4;4;;;;4;;1;1;;;
42C2A-1A4_n28A4A;42C;1A;;;;42A;256qam;28A;30;;;;;28A;30;;256qam;2;4;;;;4;;1;1;;;
42A4A-1A4_n28A4A;42A;1A;;;;42A;256qam;28A;30;;;;;28A;30;;256qam;4;4;;;;4;;1;1;;;
42C4-1A4A_n77A4A;42C;1A;;;;1A;256qam;77A;100;;;;;77A;100;;256qam;4;4;;;;4;;1;1;;;
42C2-1A4A_n77A4A;42C;1A;;;;1A;256qam;77A;100;;;;;77A;100;;256qam;2;4;;;;4;;1;1;;;
42A4-1A4A_n77A4A;42A;1A;;;;1A;256qam;77A;100;;;;;77A;100;;256qam;4;4;;;;4;;1;1;;;
42C4-1A4A_n78A4A;42C;1A;;;;1A;256qam;78A;100;;;;;78A;100;;256qam;4;4;;;;4;;1;1;;;
42A4-1A4A_n78A4A;42A;1A;;;;1A;256qam;78A;100;;;;;78A;100;;256qam;4;4;;;;4;;1;1;;;
1A4A_n28A4-n3A4A;1A;;;;;1A;256qam;28A;30;;3A;10;;3A;10;;256qam;4;;;;;4;4;1;1;;;
1A4A_n28A4-n3A4A;1A;;;;;1A;256qam;28A;20;;3A;20;;3A;20;;256qam;4;;;;;4;4;1;1;;;
1A4A_n28A4-n3A4A;1A;;;;;1A;256qam;28A;15;;3A;25;;3A;25;;256qam;4;;;;;4;4;1;1;;;
1A4A_n28A4-n3A4A;1A;;;;;1A;256qam;28A;10;;3A;30;;3A;30;;256qam;4;;;;;4;4;1;1;;;
1A4A_n28A4A-n3A4;1A;;;;;1A;256qam;28A;30;;3A;10;;28A;30;;256qam;4;;;;;4;4;1;1;;;
1A4A_n28A4A-n3A4;1A;;;;;1A;256qam;28A;20;;3A;20;;28A;20;;256qam;4;;;;;4;4;1;1;;;
1A4A_n28A4A-n3A4;1A;;;;;1A;256qam;28A;15;;3A;25;;28A;15;;256qam;4;;;;;4;4;1;1;;;
1A4A_n28A4A-n3A4;1A;;;;;1A;256qam;28A;10;;3A;30;;28A;10;;256qam;4;;;;;4;4;1;1;;;
1A4A_n75A2-n3A4A;1A;;;;;1A;256qam;75A;40;;3A;10;;3A;10;;256qam;4;;;;;2;4;1;1;;;
1A4A_n75A2-n3A4A;1A;;;;;1A;256qam;75A;30;;3A;20;;3A;20;;256qam;4;;;;;2;4;1;1;;;
1A4A_n75A2-n3A4A;1A;;;;;1A;256qam;75A;20;;3A;30;;3A;30;;256qam;4;;;;;2;4;1;1;;;
1A4A_n75A2-n3A4A;1A;;;;;1A;256qam;75A;10;;3A;40;;3A;40;;256qam;4;;;;;2;4;1;1;;;
1A4A_n20A4A;1A;;;;;1A;256qam;20A;20;;;;;20A;20;;256qam;4;;;;;4;;1;1;;;
1A4A_n38A4-n28A4A;1A;;;;;1A;256qam;38A;40;;28A;30;;28A;30;;256qam;4;;;;;4;4;1;1;;;
1A4A_n38A4A-n28A4;1A;;;;;1A;256qam;38A;40;;28A;30;;38A;40;;256qam;4;;;;;4;4;1;1;;;
1A4A_n41A4-n28A4A;1A;;;;;1A;256qam;41A;100;;28A;30;;28A;30;;256qam;4;;;;;4;4;1;1;;;
1A4A_n41A4A-n28A4;1A;;;;;1A;256qam;41A;100;;28A;30;;41A;100;;256qam;4;;;;;4;4;1;1;;;
1A4A_n71A2A;1A;;;;;1A;256qam;71A;35;;;;;71A;35;;256qam;4;;;;;2;;1;1;;;
4A2-2A4A_n78A4A;4A;2A;;;;2A;256qam;78A;100;;;;;78A;100;;256qam;2;4;;;;4;;1;1;;;
4A4A-2A2_n78A4A;4A;2A;;;;4A;256qam;78A;100;;;;;78A;100;;256qam;4;2;;;;4;;1;1;;;
5A2-2A4A_n78A4A;5A;2A;;;;2A;256qam;78A;100;;;;;78A;100;;256qam;2;4;;;;4;;1;1;;;
5A2A-2A4_n78A4A;5A;2A;;;;5A;256qam;78A;100;;;;;78A;100;;256qam;2;4;;;;4;;1;1;;;
28A4-7C2-2A4A_n78A4A;28A;7C;2A;;;2A;256qam;78A;100;;;;;78A;100;;256qam;4;2;4;;;4;;1;1;;;
28A4-7C4A-2A2_n78A4A;28A;7C;2A;;;7A;256qam;78A;100;;;;;78A;100;;256qam;4;4;2;;;4;;1;1;;;
28A4-7A4A-2A2_n78A4A;28A;7A;2A;;;7A;256qam;78A;100;;;;;78A;100;;256qam;4;4;2;;;4;;1;1;;;
28A4A-7C4-2A2_n78A4A;28A;7C;2A;;;28A;256qam;78A;100;;;;;78A;100;;256qam;4;4;2;;;4;;1;1;;;
28A4A-7A4-2A2_n78A4A;28A;7A;2A;;;28A;256qam;78A;100;;;;;78A;100;;256qam;4;4;2;;;4;;1;1;;;
7C2-2A4A_n78A4A;7C;2A;;;;2A;256qam;78A;100;;;;;78A;100;;256qam;2;4;;;;4;;1;1;;;
7C4A-2A2_n78A4A;7C;2A;;;;7A;256qam;78A;100;;;;;78A;100;;256qam;4;2;;;;4;;1;1;;;
7C2A-2A2_n78A4A;7C;2A;;;;7A;256qam;78A;100;;;;;78A;100;;256qam;2;2;;;;4;;1;1;;;
7A4A-2A2_n78A4A;7A;2A;;;;7A;256qam;78A;100;;;;;78A;100;;256qam;4;2;;;;4;;1;1;;;
28A4-2A4A_n78A4A;28A;2A;;;;2A;256qam;78A;100;;;;;78A;100;;256qam;4;4;;;;4;;1;1;;;
28A4A-2A4_n78A4A;28A;2A;;;;28A;256qam;78A;100;;;;;78A;100;;256qam;4;4;;;;4;;1;1;;;
38A2-2A4A_n78A4A;38A;2A;;;;2A;256qam;78A;100;;;;;78A;100;;256qam;2;4;;;;4;;1;1;;;
2A2A_n7A4A;2A;;;;;2A;256qam;7A;50;;;;;7A;50;;256qam;2;;;;;4;;1;1;;;
2A2A_n38A4A;2A;;;;;2A;256qam;38A;40;;;;;38A;40;;256qam;2;;;;;4;;1;1;;;
2A2A_n41A4A;2A;;;;;2A;256qam;41A;100;;;;;41A;100;;256qam;2;;;;;4;;1;1;;;
2A2A_n66A4A;2A;;;;;2A;256qam;66A;45;;;;;66A;45;;256qam;2;;;;;4;;1;1;;;
2A4A_n77A4A;2A;;;;;2A;256qam;77A;100;;;;;77A;100;;256qam;4;;;;;4;;1;1;;;
8A4-7A4-7A4-3A4A-3A4_n78A4A;8A;7A;7A;3A;3A;3A;256qam;78A;100;;;;;78A;100;;256qam;4;4;4;4;4;4;;1;1;;;
8A4-7A4A-7A4-3A4-3A4_n78A4A;8A;7A;7A;3A;3A;7A;256qam;78A;100;;;;;78A;100;;256qam;4;4;4;4;4;4;;1;1;;;
8A4A-7A4-7A4-3A4-3A4_n78A4A;8A;7A;7A;3A;3A;8A;256qam;78A;100;;;;;78A;100;;256qam;4;4;4;4;4;4;;1;1;;;
7A4-7A4-3A4A-3A4_n78A4A;7A;7A;3A;3A;;3A;256qam;78A;100;;;;;78A;100;;256qam;4;4;4;4;;4;;1;1;;;
7A4A-7A4-3A4-3A4_n78A4A;7A;7A;3A;3A;;7A;256qam;78A;100;;;;;78A;100;;256qam;4;4;4;4;;4;;1;1;;;
8A2-7A2-3A2A-3A2_n78A4-n1A4A;8A;7A;3A;3A;;3A;256qam;78A;100;;1A;50;;1A;50;;256qam;2;2;2;2;;4;4;1;1;;;
8A2-7A2-3A2A-3A2_n78A4A-n1A4;8A;7A;3A;3A;;3A;256qam;78A;100;;1A;50;;78A;100;;256qam;2;2;2;2;;4;4;1;1;;;
8A2-7A2A-3A2-3A2_n78A4-n1A4A;8A;7A;3A;3A;;7A;256qam;78A;100;;1A;50;;1A;50;;256qam;2;2;2;2;;4;4;1;1;;;
8A2-7A2A-3A2-3A2_n78A4A-n1A4;8A;7A;3A;3A;;7A;256qam;78A;100;;1A;50;;78A;100;;256qam;2;2;2;2;;4;4;1;1;;;
8A2A-7A2-3A2-3A2_n78A4-n1A4A;8A;7A;3A;3A;;8A;256qam;78A;100;;1A;50;;1A;50;;256qam;2;2;2;2;;4;4;1;1;;;
8A2A-7A2-3A2-3A2_n78A4A-n1A4;8A;7A;3A;3A;;8A;256qam;78A;100;;1A;50;;78A;100;;256qam;2;2;2;2;;4;4;1;1;;;
8A4-7A4-3A4A-3A4_n1A4A;8A;7A;3A;3A;;3A;256qam;1A;50;;;;;1A;50;;256qam;4;4;4;4;;4;;1;1;;;
8A2-7A2-3A2A-3A2_n1A4A;8A;7A;3A;3A;;3A;256qam;1A;50;;;;;1A;50;;256qam;2;2;2;2;;4;;1;1;;;
8A4-7A4A-3A4-3A4_n1A4A;8A;7A;3A;3A;;7A;256qam;1A;50;;;;;1A;50;;256qam;4;4;4;4;;4;;1;1;;;
8A2-7A2A-3A2-3A2_n1A4A;8A;7A;3A;3A;;7A;256qam;1A;50;;;;;1A;50;;256qam;2;2;2;2;;4;;1;1;;;
8A4A-7A4-3A4-3A4_n1A4A;8A;7A;3A;3A;;8A;256qam;1A;50;;;;;1A;50;;256qam;4;4;4;4;;4;;1;1;;;
8A2A-7A2-3A2-3A2_n1A4A;8A;7A;3A;3A;;8A;256qam;1A;50;;;;;1A;50;;256qam;2;2;2;2;;4;;1;1;;;
8A4-7A4-3A4A-3A4_n78A4A;8A;7A;3A;3A;;3A;256qam;78A;100;;;;;78A;100;;256qam;4;4;4;4;;4;;1;1;;;
8A2-7A2-3A2A-3A2_n78A4A;8A;7A;3A;3A;;3A;256qam;78A;100;;;;;78A;100;;256qam;2;2;2;2;;4;;1;1;;;
8A4-7A4A-3A4-3A4_n78A4A;8A;7A;3A;3A;;7A;256qam;78A;100;;;;;78A;100;;256qam;4;4;4;4;;4;;1;1;;;
8A2-7A2A-3A2-3A2_n78A4A;8A;7A;3A;3A;;7A;256qam;78A;100;;;;;78A;100;;256qam;2;2;2;2;;4;;1;1;;;
8A4A-7A4-3A4-3A4_n78A4A;8A;7A;3A;3A;;8A;256qam;78A;100;;;;;78A;100;;256qam;4;4;4;4;;4;;1;1;;;
8A2A-7A2-3A2-3A2_n78A4A;8A;7A;3A;3A;;8A;256qam;78A;100;;;;;78A;100;;256qam;2;2;2;2;;4;;1;1;;;
20A4-7A4-3A4A-3A4_n78A4A;20A;7A;3A;3A;;3A;256qam;78A;100;;;;;78A;100;;256qam;4;4;4;4;;4;;1;1;;;
20A4-7A4A-3A4-3A4_n78A4A;20A;7A;3A;3A;;7A;256qam;78A;100;;;;;78A;100;;256qam;4;4;4;4;;4;;1;1;;;
20A4A-7A4-3A4-3A4_n78A4A;20A;7A;3A;3A;;20A;256qam;78A;100;;;;;78A;100;;256qam;4;4;4;4;;4;;1;1;;;
7A4-3A2A-3A2_n78A4-n1A4A;7A;3A;3A;;;3A;256qam;78A;100;;1A;50;;1A;50;;256qam;4;2;2;;;4;4;1;1;;;
7A4-3A2A-3A2_n78A4A-n1A4;7A;3A;3A;;;3A;256qam;78A;100;;1A;50;;78A;100;;256qam;4;2;2;;;4;4;1;1;;;
7A4A-3A2-3A2_n78A4-n1A4A;7A;3A;3A;;;7A;256qam;78A;100;;1A;50;;1A;50;;256qam;4;2;2;;;4;4;1;1;;;
7A4A-3A2-3A2_n78A4A-n1A4;7A;3A;3A;;;7A;256qam;78A;100;;1A;50;;78A;100;;256qam;4;2;2;;;4;4;1;1;;;
7A4-3A2A-3A2_n1A4A;7A;3A;3A;;;3A;256qam;1A;50;;;;;1A;50;;256qam;4;2;2;;;4;;1;1;;;
7A4A-3A2-3A2_n1A4A;7A;3A;3A;;;7A;256qam;1A;50;;;;;1A;50;;256qam;4;2;2;;;4;;1;1;;;
7A4-3A4A-3A4_n78A4A;7A;3A;3A;;;3A;256qam;78A;100;;;;;78A;100;;256qam;4;4;4;;;4;;1;1;;;
7A4-3A2A-3A2_n78A4A;7A;3A;3A;;;3A;256qam;78A;100;;;;;78A;100;;256qam;4;2;2;;;4;;1;1;;;
7A4A-3A4-3A4_n78A4A;7A;3A;3A;;;7A;256qam;78A;100;;;;;78A;100;;256qam;4;4;4;;;4;;1;1;;;
7A4A-3A2-3A2_n78A4A;7A;3A;3A;;;7A;256qam;78A;100;;;;;78A;100;;256qam;4;2;2;;;4;;1;1;;;
8A2-3A4A-3A2_n78A4-n1A4A;8A;3A;3A;;;3A;256qam;78A;100;;1A;50;;1A;50;;256qam;2;4;2;;;4;4;1;1;;;
8A4-3A2A-3A2_n78A4A-n1A4;8A;3A;3A;;;3A;256qam;78A;100;;1A;50;;78A;100;;256qam;4;2;2;;;4;4;1;1;;;
8A4A-3A2-3A2_n78A4-n1A4A;8A;3A;3A;;;8A;256qam;78A;100;;1A;50;;1A;50;;256qam;4;2;2;;;4;4;1;1;;;
8A4A-3A2-3A2_n78A4A-n1A4;8A;3A;3A;;;8A;256qam;78A;100;;1A;50;;78A;100;;256qam;4;2;2;;;4;4;1;1;;;
8A2-3A4A-3A2_n1A4A;8A;3A;3A;;;3A;256qam;1A;50;;;;;1A;50;;256qam;2;4;2;;;4;;1;1;;;
8A4A-3A2-3A2_n1A4A;8A;3A;3A;;;8A;256qam;1A;50;;;;;1A;50;;256qam;4;2;2;;;4;;1;1;;;
8A4-3A4A-3A4_n78A4A;8A;3A;3A;;;3A;256qam;78A;100;;;;;78A;100;;256qam;4;4;4;;;4;;1;1;;;
8A4-3A2A-3A2_n78A4A;8A;3A;3A;;;3A;256qam;78A;100;;;;;78A;100;;256qam;4;2;2;;;4;;1;1;;;
8A4A-3A4-3A4_n78A4A;8A;3A;3A;;;8A;256qam;78A;100;;;;;78A;100;;256qam;4;4;4;;;4;;1;1;;;
8A4A-3A2-3A2_n78A4A;8A;3A;3A;;;8A;256qam;78A;100;;;;;78A;100;;256qam;4;2;2;;;4;;1;1;;;
28A2-20A2-3A4A-3A4_n78A4A;28A;20A;3A;3A;;3A;256qam;78A;100;;;;;78A;100;;256qam;2;2;4;4;;4;;1;1;;;
28A2-20A2A-3A4-3A4_n78A4A;28A;20A;3A;3A;;20A;256qam;78A;100;;;;;78A;100;;256qam;2;2;4;4;;4;;1;1;;;
28A2A-20A2-3A4-3A4_n78A4A;28A;20A;3A;3A;;28A;256qam;78A;100;;;;;78A;100;;256qam;2;2;4;4;;4;;1;1;;;
20A4-3A4A-3A4_n1A4A;20A;3A;3A;;;3A;256qam;1A;50;;;;;1A;50;;256qam;4;4;4;;;4;;1;1;;;
20A4A-3A4-3A4_n1A4A;20A;3A;3A;;;20A;256qam;1A;50;;;;;1A;50;;256qam;4;4;4;;;4;;1;1;;;
20A4-3A4A-3A4_n78A4A;20A;3A;3A;;;3A;256qam;78A;100;;;;;78A;100;;256qam;4;4;4;;;4;;1;1;;;
20A4A-3A4-3A4_n78A4A;20A;3A;3A;;;20A;256qam;78A;100;;;;;78A;100;;256qam;4;4;4;;;4;;1;1;;;
28A4-3A4A-3A4_n78A4A;28A;3A;3A;;;3A;256qam;78A;100;;;;;78A;100;;256qam;4;4;4;;;4;;1;1;;;
28A4A-3A4-3A4_n78A4A;28A;3A;3A;;;28A;256qam;78A;100;;;;;78A;100;;256qam;4;4;4;;;4;;1;1;;;
3A4A-3A4_n78A4-n1A4A;3A;3A;;;;3A;256qam;78A;100;;1A;50;;1A;50;;256qam;4;4;;;;4;4;1;1;;;
3A4A-3A4_n78A4A-n1A4;3A;3A;;;;3A;256qam;78A;100;;1A;50;;78A;100;;256qam;4;4;;;;4;4;1;1;;;
3A4A-3A4_n1A4A;3A;3A;;;;3A;256qam;1A;50;;;;;1A;50;;256qam;4;4;;;;4;;1;1;;;
3A4A-3A4_n78A4A;3A;3A;;;;3A;256qam;78A;100;;;;;78A;100;;256qam;4;4;;;;4;;1;1;;;
7A4-7A4-5A2-3A4A_n78A4A;7A;7A;5A;3A;;3A;256qam;78A;100;;;;;78A;100;;256qam;4;4;2;4;;4;;1;1;;;
7A4-7A4-5A2A-3A4_n78A4A;7A;7A;5A;3A;;5A;256qam;78A;100;;;;;78A;100;;256qam;4;4;2;4;;4;;1;1;;;
7A4A-7A4-5A2-3A4_n78A4A;7A;7A;5A;3A;;7A;256qam;78A;100;;;;;78A;100;;256qam;4;4;2;4;;4;;1;1;;;
7A4-5A2-3A4A_n78A4A;7A;5A;3A;;;3A;256qam;78A;100;;;;;78A;100;;256qam;4;2;4;;;4;;1;1;;;
7A4-5A2A-3A4_n78A4A;7A;5A;3A;;;5A;256qam;78A;100;;;;;78A;100;;256qam;4;2;4;;;4;;1;1;;;
7A4A-5A2-3A4_n78A4A;7A;5A;3A;;;7A;256qam;78A;100;;;;;78A;100;;256qam;4;2;4;;;4;;1;1;;;
5A2-3A4A_n78A4A;5A;3A;;;;3A;256qam;78A;100;;;;;78A;100;;256qam;2;4;;;;4;;1;1;;;
5A2A-3A4_n78A4A;5A;3A;;;;5A;256qam;78A;100;;;;;78A;100;;256qam;2;4;;;;4;;1;1;;;
5A2-3A4A_n79A4A;5A;3A;;;;3A;256qam;79A;100;;;;;79A;100;;256qam;2;4;;;;4;;1;1;;;
5A2A-3A4_n79A4A;5A;3A;;;;5A;256qam;79A;100;;;;;79A;100;;256qam;2;4;;;;4;;1;1;;;
8A2-7A2-7A2-3A2A_n78A4-n1A4A;8A;7A;7A;3A;;3A;256qam;78A;100;;1A;50;;1A;50;;256qam;2;2;2;2;;4;4;1;1;;;
8A2-7A2-7A2-3A2A_n78A4A-n1A4;8A;7A;7A;3A;;3A;256qam;78A;100;;1A;50;;78A;100;;256qam;2;2;2;2;;4;4;1;1;;;
8A2-7A2A-7A2-3A2_n78A4-n1A4A;8A;7A;7A;3A;;7A;256qam;78A;100;;1A;50;;1A;50;;256qam;2;2;2;2;;4;4;1;1;;;
8A2-7A2A-7A2-3A2_n78A4A-n1A4;8A;7A;7A;3A;;7A;256qam;78A;100;;1A;50;;78A;100;;256qam;2;2;2;2;;4;4;1;1;;;
8A2A-7A2-7A2-3A2_n78A4-n1A4A;8A;7A;7A;3A;;8A;256qam;78A;100;;1A;50;;1A;50;;256qam;2;2;2;2;;4;4;1;1;;;
8A2A-7A2-7A2-3A2_n78A4A-n1A4;8A;7A;7A;3A;;8A;256qam;78A;100;;1A;50;;78A;100;;256qam;2;2;2;2;;4;4;1;1;;;
8A4-7A4-7A4-3A4A_n1A4A;8A;7A;7A;3A;;3A;256qam;1A;50;;;;;1A;50;;256qam;4;4;4;4;;4;;1;1;;;
8A2-7A2-7A2-3A2A_n1A4A;8A;7A;7A;3A;;3A;256qam;1A;50;;;;;1A;50;;256qam;2;2;2;2;;4;;1;1;;;
8A4-7A4A-7A4-3A4_n1A4A;8A;7A;7A;3A;;7A;256qam;1A;50;;;;;1A;50;;256qam;4;4;4;4;;4;;1;1;;;
8A2-7A2A-7A2-3A2_n1A4A;8A;7A;7A;3A;;7A;256qam;1A;50;;;;;1A;50;;256qam;2;2;2;2;;4;;1;1;;;
8A4A-7A4-7A4-3A4_n1A4A;8A;7A;7A;3A;;8A;256qam;1A;50;;;;;1A;50;;256qam;4;4;4;4;;4;;1;1;;;
8A2A-7A2-7A2-3A2_n1A4A;8A;7A;7A;3A;;8A;256qam;1A;50;;;;;1A;50;;256qam;2;2;2;2;;4;;1;1;;;
8A4-7A4-7A4-3A4A_n78A4A;8A;7A;7A;3A;;3A;256qam;78A;100;;;;;78A;100;;256qam;4;4;4;4;;4;;1;1;;;
8A2-7A2-7A2-3A2A_n78A4A;8A;7A;7A;3A;;3A;256qam;78A;100;;;;;78A;100;;256qam;2;2;2;2;;4;;1;1;;;
8A4-7A4A-7A4-3A4_n78A4A;8A;7A;7A;3A;;7A;256qam;78A;100;;;;;78A;100;;256qam;4;4;4;4;;4;;1;1;;;
8A2-7A2A-7A2-3A2_n78A4A;8A;7A;7A;3A;;7A;256qam;78A;100;;;;;78A;100;;256qam;2;2;2;2;;4;;1;1;;;
8A4A-7A4-7A4-3A4_n78A4A;8A;7A;7A;3A;;8A;256qam;78A;100;;;;;78A;100;;256qam;4;4;4;4;;4;;1;1;;;
8A2A-7A2-7A2-3A2_n78A4A;8A;7A;7A;3A;;8A;256qam;78A;100;;;;;78A;100;;256qam;2;2;2;2;;4;;1;1;;;
28A4-7A4-7A4-3A4A_n1A4A;28A;7A;7A;3A;;3A;256qam;1A;50;;;;;1A;50;;256qam;4;4;4;4;;4;;1;1;;;
28A4-7A4A-7A4-3A4_n1A4A;28A;7A;7A;3A;;7A;256qam;1A;50;;;;;1A;50;;256qam;4;4;4;4;;4;;1;1;;;
28A4A-7A4-7A4-3A4_n1A4A;28A;7A;7A;3A;;28A;256qam;1A;50;;;;;1A;50;;256qam;4;4;4;4;;4;;1;1;;;
28A4-7A4-7A4-3A4A_n78A4A;28A;7A;7A;3A;;3A;256qam;78A;100;;;;;78A;100;;256qam;4;4;4;4;;4;;1;1;;;
28A4-7A4A-7A4-3A4_n78A4A;28A;7A;7A;3A;;7A;256qam;78A;100;;;;;78A;100;;256qam;4;4;4;4;;4;;1;1;;;
28A4A-7A4-7A4-3A4_n78A4A;28A;7A;7A;3A;;28A;256qam;78A;100;;;;;78A;100;;256qam;4;4;4;4;;4;;1;1;;;
7A2-7A2-3A4A_n78A4-n1A4A;7A;7A;3A;;;3A;256qam;78A;100;;1A;50;;1A;50;;256qam;2;2;4;;;4;4;1;1;;;
7A2-7A2-3A4A_n78A4A-n1A4;7A;7A;3A;;;3A;256qam;78A;100;;1A;50;;78A;100;;256qam;2;2;4;;;4;4;1;1;;;
7A2A-7A2-3A4_n78A4-n1A4A;7A;7A;3A;;;7A;256qam;78A;100;;1A;50;;1A;50;;256qam;2;2;4;;;4;4;1;1;;;
7A2A-7A2-3A4_n78A4A-n1A4;7A;7A;3A;;;7A;256qam;78A;100;;1A;50;;78A;100;;256qam;2;2;4;;;4;4;1;1;;;
7A2-7A2-3A4A_n1A4A;7A;7A;3A;;;3A;256qam;1A;50;;;;;1A;50;;256qam;2;2;4;;;4;;1;1;;;
7A2A-7A2-3A4_n1A4A;7A;7A;3A;;;7A;256qam;1A;50;;;;;1A;50;;256qam;2;2;4;;;4;;1;1;;;
7A4-7A4-3A4A_n28A4A;7A;7A;3A;;;3A;256qam;28A;40;;;;;28A;40;;256qam;4;4;4;;;4;;1;1;;;
7A4A-7A4-3A4_n28A4A;7A;7A;3A;;;7A;256qam;28A;40;;;;;28A;40;;256qam;4;4;4;;;4;;1;1;;;
7A4-7A4-3A4A_n78A4A;7A;7A;3A;;;3A;256qam;78A;100;;;;;78A;100;;256qam;4;4;4;;;4;;1;1;;;
7A2-7A2-3A4A_n78A4A;7A;7A;3A;;;3A;256qam;78A;100;;;;;78A;100;;256qam;2;2;4;;;4;;1;1;;;
7A4A-7A4-3A4_n78A4A;7A;7A;3A;;;7A;256qam;78A;100;;;;;78A;100;;256qam;4;4;4;;;4;;1;1;;;
7A2A-7A2-3A4_n78A4A;7A;7A;3A;;;7A;256qam;78A;100;;;;;78A;100;;256qam;2;2;4;;;4;;1;1;;;
32A2-8A4-7A4-3A4A_n1A4A;32A;8A;7A;3A;;3A;256qam;1A;50;;;;;1A;50;;256qam;2;4;4;4;;4;;1;1;;;
32A2-8A4-7A4A-3A4_n1A4A;32A;8A;7A;3A;;7A;256qam;1A;50;;;;;1A;50;;256qam;2;4;4;4;;4;;1;1;;;
32A2-8A4A-7A4-3A4_n1A4A;32A;8A;7A;3A;;8A;256qam;1A;50;;;;;1A;50;;256qam;2;4;4;4;;4;;1;1;;;
32A2-8A4-7A4-3A4A_n78A4A;32A;8A;7A;3A;;3A;256qam;78A;100;;;;;78A;100;;256qam;2;4;4;4;;4;;1;1;;;
32A2-8A4-7A4A-3A4_n78A4A;32A;8A;7A;3A;;7A;256qam;78A;100;;;;;78A;100;;256qam;2;4;4;4;;4;;1;1;;;
